z,eigen_real,eigen_imag,eigen_abs
-1.3499031066894531,0.00046937126478135814,-1.4184612279639004e-05,0.0004695855485723294
-1.3253593444824219,0.0006223904857238007,5.1385436828284e-05,0.0006245081103056566
-1.3008157014846802,0.0008765025809200677,0.00016438106399228745,0.0008917835547703133
-1.2762720584869385,0.0011935658089027802,0.00011722720665682697,0.001199308783492521
-1.2517282962799072,0.0015016526760333268,-0.00021318034645100088,0.001516709141381768
-1.2271846532821655,0.0017231793814369404,-0.0006516831168681669,0.0018422915256333361
-1.2026408910751343,0.001995437133166496,-0.0009097447071244434,0.0021930355183080517
-1.1780972480773926,0.0023231705470658647,-0.0010233127668670544,0.00253856069645526
-1.1535536050796509,0.0027893526700778987,-0.001067866937539652,0.002986775537994279
-1.1290098428726196,0.0035158718998553676,-0.0011660009344384684,0.0037041751302150892
-1.104466199874878,0.004578293740725433,-0.0015636323593059918,0.004837945817331412
-1.0799224376678467,0.006107724563024514,-0.0022242027498023394,0.006500105938367564
-1.055378794670105,0.008666436557293928,-0.0025117176312530656,0.009023073094059924
-1.0308350324630737,0.012052271521969556,-0.0022724654247483216,0.012264638109049729
-1.006291389465332,0.016212255552234392,-0.001665696462925893,0.01629760027726655
-0.9817476868629456,0.021011763569697136,-0.0015276155894765032,0.021067221404306346
-0.9572039842605591,0.026375503700795062,-0.0017887317413904918,0.02643608815073274
-0.9326603412628174,0.031725093409118006,-0.0019472835467171377,0.03178479927620399
-0.9081166386604309,0.0364833704081285,-0.0008923505224012317,0.03649428182320534
-0.8835729360580444,0.03998792666839046,0.0010125371520665213,0.04000074387709419
-0.859029233455658,0.04302429828046399,0.0017479708152660742,0.04305979150550265
-0.8344855308532715,0.046227738878028224,-0.0022121083816986913,0.04628063596438087
-0.809941828250885,0.04947516140626468,-0.00807213398143345,0.05012934213801488
-0.7853981852531433,0.05519704124203789,-0.013141306146050868,0.0567398210175135
-0.7608544826507568,0.06608486048536025,-0.018027854125122037,0.06849972488796001
-0.7363107800483704,0.08404489253794632,-0.0217032692409383,0.08680193464122561
-0.7117670774459839,0.10490238253599227,-0.0251788191766832,0.10788180011873999
-0.6872233748435974,0.12522916904629589,-0.023399254015203375,0.12739650650035017
-0.6626796722412109,0.14251999565027146,-0.009765542863039121,0.14285417385419039
-0.6381360292434692,0.1553196800878128,0.019443970441433835,0.15653201272937067
-0.6135923266410828,0.16538245546833225,0.04376713778304346,0.1710757695480421
-0.5890486240386963,0.18336270059815887,0.04042807641266617,0.18776663530318272
-0.5645049214363098,0.21010823926855404,0.012880415852184593,0.21050267770519493
-0.5399612188339233,0.24265450950182943,-0.014806406167632178,0.2431058219071981
-0.5154175162315369,0.2768034881246475,-0.038896944173814965,0.27952306399299637
-0.4908738434314728,0.3122184536948978,-0.04933241397284065,0.3160918377560875
-0.4663301706314087,0.3406882590732846,-0.0468048797637237,0.34388833455074064
-0.4417864680290222,0.3596655676911942,-0.03412926175659006,0.36128122991746864
-0.41724276542663574,0.37857250027383055,-0.005609490086150891,0.3786140572437928
-0.39269909262657166,0.39797548388923476,0.03209540534356245,0.39926758047835303
-0.3681553900241852,0.42358893491650584,0.09000259698283652,0.43304509378049155
-0.3436116874217987,0.46685320051136175,0.12607460499004777,0.48357700198737563
-0.3190680146217346,0.5294120836799704,0.07128567202723084,0.5341898551851597
-0.29452431201934814,0.5790556282542967,-0.04541566893883628,0.5808338864065526
-0.26998060941696167,0.5972901582323965,-0.12771955764182172,0.6107927787109994
-0.2454369217157364,0.5992527499689829,-0.1456195017814548,0.6166918984748118
-0.2208932340145111,0.5852368969403916,-0.14145245214558758,0.6020888819422082
-0.19634954631328583,0.5768549720916835,-0.12977368149142038,0.5912722446003478
-0.17180584371089935,0.5952566524937514,-0.11642276927929603,0.6065350307646928
-0.14726215600967407,0.6463284523010548,-0.11551571494008593,0.6565701399332717
-0.1227184608578682,0.7223503808133742,-0.08211561884680545,0.72700278370844
-0.09817477315664291,0.8007342665302416,-0.004366527421415968,0.8007461721153877
-0.07363107800483704,0.8700159458452994,0.04542530018053693,0.8712010123511007
-0.04908738657832146,0.9350551845375334,0.03972626051555381,0.9358986985272874
-0.02454369328916073,0.983038496683647,0.012383472006675954,0.9831164917449939
0.0,1.0,9.341466248370812e-18,1.0
0.02454369328916073,0.983037479952355,0.012385725796257506,0.9831155034860233
0.04908738657832146,0.9350549986850316,0.03972360082926681,0.9358983999498596
0.07363107800483704,0.8700161646873945,0.0454278679947935,0.8712013647876798
0.09817477315664291,0.8007335844903347,-0.004366072233177173,0.8007454876035738
0.1227184608578682,0.7223512572424663,-0.08211647096438449,0.727003750776718
0.14726215600967407,0.646325584128512,-0.11551552616274788,0.6565672832876451
0.17180584371089935,0.5952572556080498,-0.11642314909030108,0.6065356955679769
0.19634954631328583,0.5768562854400303,-0.12977372848165608,0.5912735362382628
0.2208932340145111,0.5852352983850496,-0.14145074436205474,0.6020869269104067
0.2454369217157364,0.5992549526928437,-0.14562029252244246,0.6166942256266261
0.26998060941696167,0.5972897458624802,-0.12771840924144143,0.6107921353223456
0.29452431201934814,0.5790517625322694,-0.04541674589607079,0.5808301167290794
0.3190680146217346,0.5294164758919851,0.07128701582604803,0.5341943874389472
0.3436116874217987,0.4668489429414856,0.12607563022904775,0.4835731589565679
0.3681553900241852,0.4235886550336957,0.09000092126483134,0.43304447173676475
0.39269909262657166,0.3979777078069158,0.03209470000139424,0.39926974050061237
0.41724276542663574,0.3785693952280339,-0.005608063961238324,0.37861093141206675
0.4417864680290222,0.3596686532691439,-0.03413034482380664,0.361284404011897
0.4663301706314087,0.3406865929092112,-0.04680442790851869,0.3438866223916399
0.4908738434314728,0.31221644286606787,-0.049330569004800734,0.31608956362758645
0.5154175162315369,0.27680623330618226,-0.038898162436010256,0.27952595199382624
0.5399612188339233,0.2426512689974989,-0.014804963859692235,0.24310249957781874
0.5645049214363098,0.2101101762773739,0.012880690042829742,0.21050462786192753
0.5890486240386963,0.18336455757974693,0.04042608220641206,0.18776801937224538
0.6135923266410828,0.16537812778392244,0.04376770838783252,0.17107173187536778
0.6381360292434692,0.15532448196024878,0.019444787174939072,0.15653687886405018
0.6626796722412109,0.14251761906091576,-0.009766506453895875,0.14285186870008487
0.6872233748435974,0.1252283390321151,-0.023397231368115976,0.12739531911508958
0.7117670774459839,0.10490475630980498,-0.02518075421845908,0.10788455996772667
0.7363107800483704,0.08404297521150306,-0.021701504139435845,0.08679963689045748
0.7608544826507568,0.06608551630860059,-0.01802821825048178,0.06850045342230458
0.7853981852531433,0.055197371359744424,-0.013142234510282739,0.056740357180306865
0.809941828250885,0.04947328745057819,-0.008070471609616114,0.05012722496976226
0.8344855308532715,0.04622903380231776,-0.0022134941157429646,0.04628199566242003
0.859029233455658,0.043021494223735905,0.0017466722220664027,0.043056937061224876
0.8835729360580444,0.03998891546564784,0.0010164178130720343,0.040001830774221564
0.9081166386604309,0.03648424252912565,-0.0008958895107804441,0.036495240387475016
0.9326603412628174,0.031723811046957026,-0.0019444615072619566,0.03178334654966743
0.9572039842605591,0.026375913516898032,-0.0017889613718471223,0.02643651256578381
0.9817476868629456,0.021012450597304083,-0.0015298086941106718,0.02106806575708177
1.006291389465332,0.016210980727356383,-0.0016631707165145402,0.016296074158366845
1.0308350324630737,0.012052452010750706,-0.002273967728628593,0.012265093913309145
1.055378794670105,0.008667071516056536,-0.0025115678226329164,0.009023641260163416
1.0799224376678467,0.006106140198979642,-0.0022246331056620617,0.006498764542926814
1.104466199874878,0.004579667642191385,-0.001563414719517999,0.004839175683744117
1.1290098428726196,0.003516177827080396,-0.0011652637091209327,0.003704233527120838
1.1535536050796509,0.0027886483697216876,-0.0010679883684591095,0.0029861612289217364
1.1780972480773926,0.002324430373958385,-0.0010241189793144256,0.0025400386310393663
1.2026408910751343,0.001994576247346409,-0.0009092616692532223,0.0021920518218444653
1.2271846532821655,0.0017212660545901275,-0.0006533083806104758,0.0018410781273102308
1.2517282962799072,0.001505326940949902,-0.00021029523724235412,0.0015199451588647555
1.2762720584869385,0.0011903859055144206,0.00011630961021766172,0.0011960545679342441
1.3008157014846802,0.0008791033503773155,0.0001630377787424207,0.0008940939648280172
1.3253593444824219,0.0006229617737623713,5.184118571533743e-05,0.000625115093487217
1.3499031066894531,0.0004675364785882282,-1.3470770105681544e-05,0.00046773049981578156
1.3744467496871948,0.0003621398800584775,-4.225980048913329e-05,0.0003645972894388407
1.398990511894226,0.00028801256502660773,-5.579549463637842e-05,0.00029336730362282035
1.4235341548919678,0.0002218946708108128,-6.703918399403475e-05,0.00023180055462579253
1.448077917098999,0.00017796413300024677,-6.033044114161108e-05,0.00018791219961160298
1.4726215600967407,0.00012817686386176335,-4.1628491539148355e-05,0.00013476735412280662
1.4971652030944824,0.00010515946739341316,-9.040754078005948e-06,0.00010554737711930746
1.5217089653015137,7.258295183890026e-05,5.4884889224266305e-06,7.279016697535262e-05
1.5462526082992554,5.396757646833295e-05,1.512775080172324e-05,5.6047731035113304e-05
1.5707963705062866,3.93557182029309e-05,1.0397748455336774e-05,4.07060895715735e-05
1.5953400135040283,3.11535307392804e-05,3.9058390043494777e-07,3.115597909401289e-05
1.61988365650177,2.0096271158491472e-05,-3.901524219190902e-06,2.0471492512969086e-05
1.6444274187088013,2.025308441214678e-05,-3.91490567994039e-06,2.062798862439992e-05
1.668971061706543,7.172089027676824e-06,-5.000623553000117e-06,8.743288679881375e-06
1.6935148239135742,9.077389433868658e-06,-1.8795757359063616e-06,9.269940877973186e-06
1.718058466911316,2.907736600066142e-06,-2.8661287383626235e-06,4.082845341209036e-06
1.7426022291183472,3.379810399209218e-06,8.599371953751498e-07,3.4874934142722695e-06
1.7671458721160889,2.3887661902988094e-06,-1.3422179752077542e-06,2.740027920457288e-06
1.7916895151138306,2.2948061625994966e-06,-6.315096396686108e-07,2.3801133899247335e-06
1.8162332773208618,-7.353475886316321e-07,1.8381830520252079e-06,1.979811356887081e-06
1.8407769203186035,4.932468333372126e-06,-1.2803742602190913e-06,5.095939766711375e-06
1.8653206825256348,-3.3494622714091062e-06,-2.0340710830045464e-07,3.3556328701602922e-06
1.8898643255233765,4.393558040474255e-06,4.6166816002291343e-07,4.4177471345692605e-06
1.9144079685211182,-1.7307456552091645e-06,-1.4915848586061283e-06,2.2847988781178232e-06
1.9389517307281494,4.185172972260556e-07,9.004187649867775e-07,9.92930350234958e-07
1.9634953737258911,-3.463177564870123e-07,-1.4989071194457863e-06,1.5383947936675624e-06
1.9880391359329224,1.1676479350393413e-06,1.743007049090973e-06,2.0979693213635085e-06
2.012582778930664,-8.503001384704419e-07,-1.3567225930067417e-06,1.6011578684994772e-06
2.0371265411376953,7.01414696101882e-07,3.9328632563606283e-07,8.041496812410055e-07
2.0616700649261475,-5.524005540699225e-07,2.229981636856507e-07,5.957134824258467e-07
