z,eigen_real,eigen_imag,eigen_abs
-4.908738136291503906e+00,5.943563580513000488e-02,-1.094077597372233868e-04,5.943573638796806335e-02
-4.712388992309570312e+00,6.321814656257629395e-02,-1.257081050425767899e-03,6.323064118623733521e-02
-4.516038894653320312e+00,6.977869570255279541e-02,2.986923558637499809e-03,6.984259933233261108e-02
-4.319689273834228516e+00,8.441983908414840698e-02,8.215286768972873688e-03,8.481863141059875488e-02
-4.123340606689453125e+00,1.054770126938819885e-01,7.527872454375028610e-03,1.057453006505966187e-01
-3.926990509033203125e+00,1.259795427322387695e-01,4.527910787146538496e-04,1.259803473949432373e-01
-3.730640888214111328e+00,1.424450129270553589e-01,-7.046679034829139709e-03,1.426192075014114380e-01
-3.534291982650756836e+00,1.577642112970352173e-01,-9.133794344961643219e-03,1.580283939838409424e-01
-3.337942123413085938e+00,1.777926981449127197e-01,-4.801332019269466400e-03,1.778575181961059570e-01
-3.141592264175415039e+00,2.064114809036254883e-01,3.302794881165027618e-03,2.064379006624221802e-01
-2.945242881774902344e+00,2.444274574518203735e-01,1.168668828904628754e-02,2.447066903114318848e-01
-2.748893022537231445e+00,2.901646792888641357e-01,1.812736503779888153e-02,2.907303571701049805e-01
-2.552543640136718750e+00,3.412477970123291016e-01,2.184873260557651520e-02,3.419465124607086182e-01
-2.356194496154785156e+00,3.952723443508148193e-01,2.318013273179531097e-02,3.959514498710632324e-01
-2.159844636917114258e+00,4.507411122322082520e-01,2.269154228270053864e-02,4.513119161128997803e-01
-1.963494777679443359e+00,5.069338679313659668e-01,2.092781662940979004e-02,5.073656439781188965e-01
-1.767145872116088867e+00,5.641824007034301758e-01,1.812368072569370270e-02,5.644733905792236328e-01
-1.570796012878417969e+00,6.231004595756530762e-01,1.459996402263641357e-02,6.232715249061584473e-01
-1.374446392059326172e+00,6.841531991958618164e-01,1.072022132575511932e-02,6.842371821403503418e-01
-1.178096771240234375e+00,7.467148303985595703e-01,7.101667113602161407e-03,7.467485666275024414e-01
-9.817476272583007812e-01,8.090952634811401367e-01,4.170986823737621307e-03,8.091059923171997070e-01
-7.853975296020507812e-01,8.684179186820983887e-01,2.199163194745779037e-03,8.684207201004028320e-01
-5.890483856201171875e-01,9.211518168449401855e-01,1.016721711494028568e-03,9.211523532867431641e-01
-3.926987648010253906e-01,9.631706476211547852e-01,4.184004501439630985e-04,9.631707668304443359e-01
-1.963491439819335938e-01,9.905084371566772461e-01,9.426558972336351871e-05,9.905084371566772461e-01
0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00,1.000000000000000000e+00
1.963500976562500000e-01,9.904925823211669922e-01,5.627370046568103135e-05,9.904925823211669922e-01
3.926997184753417969e-01,9.630939364433288574e-01,3.897127171512693167e-04,9.630939364433288574e-01
5.890488624572753906e-01,9.209695458412170410e-01,1.061854884028434753e-03,9.209700822830200195e-01
7.853984832763671875e-01,8.681369423866271973e-01,2.368188230320811272e-03,8.681401610374450684e-01
9.817481040954589844e-01,8.087481856346130371e-01,4.455538466572761536e-03,8.087604045867919922e-01
1.178097248077392578e+00,7.463524937629699707e-01,7.465099915862083435e-03,7.463897466659545898e-01
1.374446868896484375e+00,6.837787628173828125e-01,1.109428424388170242e-02,6.838687658309936523e-01
1.570796966552734375e+00,6.227306127548217773e-01,1.495694927871227264e-02,6.229102015495300293e-01
1.767146110534667969e+00,5.637930631637573242e-01,1.843057572841644287e-02,5.640942454338073730e-01
1.963495492935180664e+00,5.065619349479675293e-01,2.120796218514442444e-02,5.070056915283203125e-01
2.159845590591430664e+00,4.503805637359619141e-01,2.293695881962776184e-02,4.509642124176025391e-01
2.356194496154785156e+00,3.949770629405975342e-01,2.342905849218368530e-02,3.956713378429412842e-01
2.552544593811035156e+00,3.409953415393829346e-01,2.208621241152286530e-02,3.417098522186279297e-01
2.748893976211547852e+00,2.899868488311767578e-01,1.838354393839836121e-02,2.905690073966979980e-01
2.945243358612060547e+00,2.442696392536163330e-01,1.193109527230262756e-02,2.445608675479888916e-01
3.141592979431152344e+00,2.062891423702239990e-01,3.559688804671168327e-03,2.063198536634445190e-01
3.337942600250244141e+00,1.776461452245712280e-01,-4.566851537674665451e-03,1.777048408985137939e-01
3.534291982650756836e+00,1.576155722141265869e-01,-8.901083841919898987e-03,1.578667163848876953e-01
3.730641603469848633e+00,1.422468274831771851e-01,-6.849124096333980560e-03,1.424116194248199463e-01
3.926991462707519531e+00,1.257747113704681396e-01,6.290646851994097233e-04,1.257762908935546875e-01
4.123340606689453125e+00,1.052362844347953796e-01,7.648320868611335754e-03,1.055138483643531799e-01
4.319690704345703125e+00,8.421500027179718018e-02,8.305575698614120483e-03,8.462357521057128906e-02
4.516039848327636719e+00,6.958337873220443726e-02,3.026415128260850906e-03,6.964916735887527466e-02
4.712388992309570312e+00,6.309046596288681030e-02,-1.212802249938249588e-03,6.310212612152099609e-02
4.908739089965820312e+00,5.931665003299713135e-02,-8.453807095065712929e-05,5.931670591235160828e-02
