model,kx,t_nu,response,response_imag,p_max,j_max
original_sugama,0.05,5.599114215659475,1.4400741660078723e-05,-4.347584266316218e-16,24,10
original_sugama,0.05,5.649106306870721,1.033225947547298e-05,-3.98811511986476e-16,24,10
original_sugama,0.05,5.699098398081966,-2.690815601899732e-07,-9.961039217310036e-18,24,10
original_sugama,0.05,5.749090489293211,-7.380532402705733e-06,3.6079737145414004e-16,24,10
original_sugama,0.05,5.7990825805044555,-4.6954478015672e-06,3.7273573898325833e-16,24,10
original_sugama,0.05,5.849074671715701,4.813358840019045e-06,2.8144519661964104e-17,24,10
original_sugama,0.05,5.899066762926946,1.2098457387568148e-05,-3.425096094870347e-16,24,10
original_sugama,0.05,5.949058854138192,1.0620889540895674e-05,-3.97053564380826e-16,24,10
original_sugama,0.05,5.999050945349437,2.189269343153623e-06,-9.713798199581356e-17,24,10
original_sugama,0.05,6.049043036560683,-5.132489557818014e-06,2.6792517207817643e-16,24,10
original_sugama,0.05,6.099035127771928,-4.719550854401087e-06,3.5962724672270615e-16,24,10
original_sugama,0.05,6.149027218983173,2.6395987281329953e-06,1.0390563958675495e-16,24,10
original_sugama,0.05,6.199019310194418,9.854456471418436e-06,-2.5077605844884823e-16,24,10
original_sugama,0.05,6.249011401405664,1.0340669379087076e-05,-3.7426468070574483e-16,24,10
original_sugama,0.05,6.299003492616909,4.00641012831746e-06,-1.6177542974666844e-16,24,10
original_sugama,0.05,6.348995583828154,-3.0065169695278557e-06,1.783432169715163e-16,24,10
original_sugama,0.05,6.3989876750393995,-4.260489120217374e-06,3.2822833804661367e-16,24,10
original_sugama,0.05,6.448979766250645,1.0829884486207425e-06,1.5730233167707486e-16,24,10
original_sugama,0.05,6.49897185746189,7.79276472741083e-06,-1.648220176267867e-16,24,10
original_sugama,0.05,6.548963948673135,9.666079621298157e-06,-3.3601957108045896e-16,24,10
original_sugama,0.05,6.5989560398843805,5.2447270781662905e-06,-2.0467421034888267e-16,24,10
original_sugama,0.05,6.648948131095626,-1.1038254137428723e-06,9.662767070128214e-17,24,10
original_sugama,0.05,6.698940222306871,-3.48252253836943e-06,2.8411689050386926e-16,24,10
original_sugama,0.05,6.748932313518116,6.889551007592935e-08,1.8980815160614776e-16,24,10
original_sugama,0.05,6.7989244047293615,5.9912684654991455e-06,-8.85490910717121e-17,24,10
original_sugama,0.05,6.848916495940607,8.748027118397854e-06,-2.8776817319653447e-16,24,10
original_sugama,0.05,6.898908587151853,5.986138408902968e-06,-2.2779971920674783e-16,24,10
original_sugama,0.05,6.948900678363098,5.168812165502176e-07,2.5991467995957232e-17,24,10
original_sugama,0.05,6.9988927695743435,-2.524361661403073e-06,2.3254888653103427e-16,24,10
original_sugama,0.05,7.048884860785589,-4.908177683101664e-07,2.0381930967323207e-16,24,10
original_sugama,0.05,7.098876951996834,4.489888684419573e-06,-2.4448977985615298e-17,24,10
original_sugama,0.05,7.148869043208079,7.71097873671216e-06,-2.344729530967905e-16,24,10
original_sugama,0.05,7.1988611344193245,6.3212711895363475e-06,-2.3392593793732376e-16,24,10
original_sugama,0.05,7.24885322563057,1.8310550513055415e-06,-3.175760983601e-17,24,10
original_sugama,0.05,7.298845316841815,-1.4975671607189876e-06,1.780974324534102e-16,24,10
original_sugama,0.05,7.34883740805306,-6.883740577467949e-07,2.0242045450977872e-16,24,10
original_sugama,0.05,7.3988294992643056,3.298823860734984e-06,2.630532596295884e-17,24,10
original_sugama,0.05,7.448821590475551,6.652498865405296e-06,-1.803136989161896e-16,24,10
original_sugama,0.05,7.498813681686796,6.340991282440713e-06,-2.2633379448146987e-16,24,10
original_sugama,0.05,7.548805772898041,2.8401006071563986e-06,-7.598864670562153e-17,24,10
original_sugama,0.05,7.598797864109287,-4.867902004570025e-07,1.2457893305480818e-16,24,10
original_sugama,0.05,7.648789955320532,-6.128142980342413e-07,1.8898638070310206e-16,24,10
original_sugama,0.05,7.698782046531777,2.4059046237523805e-06,6.358125546487407e-17,24,10
original_sugama,0.05,7.748774137743022,5.644182866242763e-06,-1.2867690192487434e-16,24,10
original_sugama,0.05,7.7987662289542685,6.130779020565602e-06,-2.0842649237595195e-16,24,10
original_sugama,0.05,7.848758320165514,3.564449970720054e-06,-1.070314397298974e-16,24,10
original_sugama,0.05,7.898750411376759,4.4796100170846595e-07,7.49112974143183e-17,24,10
