t,heat_flux,wphi,wg
4.2756228637695312e+02,7.6541972160339355e+00,3.0275185108184814e+00,1.4983326721191406e+02
4.3006243896484375e+02,7.5272970199584961e+00,2.9414284229278564e+00,1.4779333496093750e+02
4.3256259155273438e+02,7.6861906051635742e+00,2.8982505798339844e+00,1.4673420715332031e+02
4.3506274414062500e+02,7.6599531173706055e+00,2.9852783679962158e+00,1.4736767578125000e+02
4.3756289672851562e+02,7.6166939735412598e+00,2.9506182670593262e+00,1.4663761901855469e+02
4.4006304931640625e+02,8.0361719131469727e+00,2.9437651634216309e+00,1.4725097656250000e+02
4.4256320190429688e+02,8.2657661437988281e+00,3.1247019767761230e+00,1.5078317260742188e+02
4.4506335449218750e+02,7.5953612327575684e+00,3.1015858650207520e+00,1.5065443420410156e+02
4.4756350708007812e+02,6.8339705467224121e+00,3.0498239994049072e+00,1.4432969665527344e+02
4.5001364135742188e+02,6.8339705467224121e+00,3.0498239994049072e+00,1.4432969665527344e+02
