t,phi_zonal_real
1.342011737823486328e+01,-5.818779952424166360e-05
1.362012195587158203e+01,-6.028651394250861907e-05
1.382012653350830078e+01,-6.013564681777318327e-05
1.402013111114501953e+01,-5.777334954047358900e-05
1.422013568878173828e+01,-5.327829333363939525e-05
1.442014026641845703e+01,-4.676789755101972828e-05
1.462014484405517578e+01,-3.839514281911707500e-05
1.482014942169189453e+01,-2.834520406895078436e-05
1.502015399932861328e+01,-1.683114865356070180e-05
1.522015857696533203e+01,-4.089509359843577206e-06
1.542016315460205078e+01,9.624822853316264681e-06
1.562016773223876953e+01,2.404369019600366203e-05
1.582017230987548828e+01,3.889133876948709661e-05
1.602017593383789062e+01,5.388971862901465175e-05
1.622018051147460938e+01,6.876403671345079579e-05
1.642018508911132812e+01,8.324788004790984190e-05
1.662018966674804688e+01,9.708804876310931666e-05
1.682019424438476562e+01,1.100492746036290775e-04
1.702019882202148438e+01,1.219180735262129982e-04
1.722020339965820312e+01,1.325063472705896800e-04
1.742020797729492188e+01,1.416540246176267942e-04
1.762021255493164062e+01,1.492314623807281014e-04
1.782021713256835938e+01,1.551407405648283825e-04
1.802022171020507812e+01,1.593167683165122768e-04
1.822022628784179688e+01,1.617270074260994134e-04
1.842023086547851562e+01,1.623714723453523873e-04
1.862023544311523438e+01,1.612814059508947966e-04
1.882024002075195312e+01,1.585178098149026362e-04
1.902024459838867188e+01,1.541691304422557456e-04
1.922024917602539062e+01,1.483492511113851430e-04
1.942025375366210938e+01,1.411942759006558411e-04
1.962025833129882812e+01,1.328592991653263649e-04
1.982026290893554688e+01,1.235155824584153875e-04
2.002026748657226562e+01,1.133468219687142119e-04
2.022027206420898438e+01,1.025454959940502085e-04
2.042027664184570312e+01,9.130966350240383317e-05
2.062028121948242188e+01,7.983905694512228885e-05
2.082028579711914062e+01,6.833197543862039986e-05
2.102029037475585938e+01,5.698183592805365399e-05
2.122029495239257812e+01,4.597417552111437723e-05
2.142029953002929688e+01,3.548376652590865655e-05
2.162030410766601562e+01,2.567207900884128954e-05
2.182030868530273438e+01,1.668499064687229536e-05
2.202031326293945312e+01,8.650845861813775533e-06
2.222031784057617188e+01,1.678910607699654054e-06
2.242032241821289062e+01,-4.141837270122992340e-06
2.262032699584960938e+01,-8.743511136375621808e-06
2.282033157348632812e+01,-1.207969389786623173e-05
2.302033615112304688e+01,-1.412560625967956337e-05
2.322034072875976562e+01,-1.487765473198507061e-05
2.342034530639648438e+01,-1.435269492115496672e-05
2.362034988403320312e+01,-1.258718207141344549e-05
2.382035446166992188e+01,-9.635760432023373628e-06
2.402035903930664062e+01,-5.569628899765637225e-06
2.422036361694335938e+01,-4.751940611065965251e-07
2.442036819458007812e+01,5.548188549333738978e-06
2.462037277221679688e+01,1.239042315155304963e-05
2.482037734985351562e+01,1.993198793844606703e-05
2.502038192749023438e+01,2.804683181946435113e-05
2.522038650512695312e+01,3.660381280096866938e-05
2.542039108276367188e+01,4.546915861159220464e-05
2.562039566040039062e+01,5.450811653100764265e-05
2.582040023803710938e+01,6.358686333574467477e-05
2.602040481567382812e+01,7.257415147929583592e-05
2.622040939331054688e+01,8.134279705347841614e-05
2.642041397094726562e+01,8.977127683047076963e-05
2.662041854858398438e+01,9.774470325307696580e-05
2.682042312622070312e+01,1.051561632455089287e-04
