t,heat_flux,wphi,wg
8.5050590515136719e+01,1.9460624694824219e+01,5.3100099563598633e+00,4.5940734863281250e+02
8.7550743103027344e+01,2.0106136322021484e+01,5.4708142280578613e+00,4.5833331298828125e+02
9.0050895690917969e+01,1.9062959671020508e+01,5.5779657363891602e+00,4.5761782836914062e+02
9.2551048278808594e+01,1.9325738906860352e+01,5.2636537551879883e+00,4.5360528564453125e+02
9.5051200866699219e+01,1.7121917724609375e+01,5.6610012054443359e+00,4.4412399291992188e+02
9.7551353454589844e+01,1.8284496307373047e+01,5.0711688995361328e+00,4.3393920898437500e+02
1.0000150299072266e+02,1.8284496307373047e+01,5.0711688995361328e+00,4.3393920898437500e+02
1.0005150604248047e+02,1.8446323394775391e+01,4.9958238601684570e+00,4.3594039916992188e+02
1.0255149841308594e+02,1.8793525695800781e+01,5.1316547393798828e+00,4.4034234619140625e+02
1.0505150604248047e+02,1.9110950469970703e+01,5.1990909576416016e+00,4.4654940795898438e+02
1.0755151367187500e+02,2.0245197296142578e+01,5.4534401893615723e+00,4.5707449340820312e+02
1.1005152130126953e+02,2.0737815856933594e+01,5.6281981468200684e+00,4.7527221679687500e+02
1.1255152893066406e+02,1.9728752136230469e+01,5.8378849029541016e+00,4.8551544189453125e+02
1.1505154418945312e+02,1.9180360794067383e+01,5.7882719039916992e+00,4.8498724365234375e+02
1.1755152130126953e+02,1.9598701477050781e+01,5.4605879783630371e+00,4.8073541259765625e+02
1.2005148315429688e+02,2.0961374282836914e+01,5.5466904640197754e+00,4.8574945068359375e+02
1.2255144500732422e+02,2.0681476593017578e+01,5.7571516036987305e+00,4.9632403564453125e+02
1.2505140686035156e+02,2.0817359924316406e+01,5.5844631195068359e+00,5.0425259399414062e+02
1.2755136871337891e+02,2.0882680892944336e+01,5.7703242301940918e+00,5.1176522827148438e+02
1.3005133056640625e+02,2.1124618530273438e+01,6.1668882369995117e+00,5.1667706298828125e+02
1.3255130004882812e+02,2.1307046890258789e+01,6.3138880729675293e+00,5.2208355712890625e+02
1.3505125427246094e+02,2.0456964492797852e+01,6.0847382545471191e+00,5.2300213623046875e+02
1.3755120849609375e+02,1.9144685745239258e+01,6.0516619682312012e+00,5.1645404052734375e+02
1.4005117797851562e+02,1.8945697784423828e+01,6.2884435653686523e+00,5.0308526611328125e+02
1.4255114746093750e+02,1.9290578842163086e+01,5.8814473152160645e+00,4.9586575317382812e+02
1.4505110168457031e+02,1.8813919067382812e+01,5.7297010421752930e+00,4.9029110717773438e+02
1.4755105590820312e+02,1.7866687774658203e+01,5.7756004333496094e+00,4.8165631103515625e+02
1.5000102233886719e+02,1.7866687774658203e+01,5.7756004333496094e+00,4.8165631103515625e+02
