model,coordinate,kx,t_nu,abscissa,normalized_distribution,p_max,j_max
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.125,0.5748185896517627,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.05,0.6529410423674329,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.9750000000000001,0.7312636316886131,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.8999999999999999,0.8063879844161465,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.8250000000000002,0.8744264579795161,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.75,0.9313028197441401,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.6750000000000003,0.9731433679433209,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.6000000000000001,0.9967320699927175,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.5249999999999999,1.0,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.4500000000000002,0.9825234054723083,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.375,0.9460138342652861,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.30000000000000027,0.8947847103210064,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.2250000000000001,0.836127358530951,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.1499999999999999,0.7803184486610049,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-0.07500000000000018,0.7395042727119938,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.0,0.7244195408467949,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.07499999999999973,0.7395042727116377,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.1499999999999999,0.7803184486603643,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.2250000000000001,0.8361273585301309,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.2999999999999998,0.8947847103201045,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.375,0.9460138342643808,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.44999999999999973,0.9825234054714536,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.5249999999999999,0.9999999999992357,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.5999999999999996,0.9967320699920695,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.6749999999999998,0.9731433679428074,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.75,0.9313028197437685,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,0.8249999999999997,0.8744264579792874,24,10
