t,heat_flux,wphi,wg
6.2549331665039062e+01,1.0420899391174316e+01,4.0279855728149414e+00,2.3007023620605469e+02
6.5049369812011719e+01,1.0098875045776367e+01,4.1226706504821777e+00,2.2437313842773438e+02
6.7549522399902344e+01,9.3891887664794922e+00,3.8876869678497314e+00,2.1857827758789062e+02
7.0049674987792969e+01,9.4927186965942383e+00,3.4107046127319336e+00,2.1160671997070312e+02
7.2549827575683594e+01,9.6097507476806641e+00,3.2172913551330566e+00,2.0923834228515625e+02
7.5049980163574219e+01,1.0415698051452637e+01,3.1851041316986084e+00,2.1297882080078125e+02
7.7550132751464844e+01,1.0378267288208008e+01,3.3117208480834961e+00,2.2104281616210938e+02
8.0050285339355469e+01,1.0606220245361328e+01,3.2982246875762939e+00,2.2720515441894531e+02
8.2550437927246094e+01,1.0692996978759766e+01,3.5333788394927979e+00,2.3341227722167969e+02
8.5050590515136719e+01,1.0686625480651855e+01,3.5830171108245850e+00,2.3683789062500000e+02
8.7550743103027344e+01,1.0553674697875977e+01,3.5146176815032959e+00,2.3802401733398438e+02
9.0050895690917969e+01,1.1099982261657715e+01,3.5698370933532715e+00,2.4146597290039062e+02
9.2551048278808594e+01,1.0834776878356934e+01,3.5600996017456055e+00,2.4529718017578125e+02
9.5051200866699219e+01,1.1334969520568848e+01,3.4896197319030762e+00,2.4919056701660156e+02
9.7551353454589844e+01,1.2084617614746094e+01,3.7303950786590576e+00,2.5700225830078125e+02
1.0005150604248047e+02,1.1885968208312988e+01,3.8660366535186768e+00,2.6540951538085938e+02
1.0255165863037109e+02,1.2528059959411621e+01,3.8318896293640137e+00,2.7103320312500000e+02
1.0505181121826172e+02,1.2535508155822754e+01,4.5748491287231445e+00,2.8053753662109375e+02
1.0755196380615234e+02,1.2549653053283691e+01,4.2996268272399902e+00,2.8550064086914062e+02
1.1005211639404297e+02,1.2209488868713379e+01,4.2546043395996094e+00,2.8877645874023438e+02
1.1255226898193359e+02,1.2086856842041016e+01,4.0944375991821289e+00,2.8897067260742188e+02
1.1505242156982422e+02,1.2611450195312500e+01,3.9321546554565430e+00,2.9019711303710938e+02
1.1755257415771484e+02,1.3234388351440430e+01,4.2062559127807617e+00,2.9593728637695312e+02
1.2005272674560547e+02,1.3835982322692871e+01,4.2245650291442871e+00,3.0584286499023438e+02
1.2255287933349609e+02,1.4323478698730469e+01,4.5790596008300781e+00,3.1824569702148438e+02
1.2505303192138672e+02,1.4538910865783691e+01,4.6145253181457520e+00,3.2954455566406250e+02
1.2755318450927734e+02,1.4898268699645996e+01,4.6291456222534180e+00,3.4138790893554688e+02
1.3005332946777344e+02,1.4666252136230469e+01,4.8694353103637695e+00,3.5020300292968750e+02
1.3255348205566406e+02,1.4431376457214355e+01,4.7598881721496582e+00,3.5527587890625000e+02
1.3505363464355469e+02,1.4693304061889648e+01,4.6573324203491211e+00,3.5756802368164062e+02
1.3755378723144531e+02,1.4764231681823730e+01,4.7647485733032227e+00,3.6123086547851562e+02
1.4005393981933594e+02,1.4788828849792480e+01,4.7069559097290039e+00,3.6354165649414062e+02
1.4255409240722656e+02,1.4736341476440430e+01,4.7759752273559570e+00,3.6508953857421875e+02
1.4505424499511719e+02,1.4657280921936035e+01,5.0320916175842285e+00,3.6770278930664062e+02
1.4755439758300781e+02,1.4352465629577637e+01,4.7393374443054199e+00,3.6798187255859375e+02
1.5000454711914062e+02,1.4352465629577637e+01,4.7393374443054199e+00,3.6798187255859375e+02
