t,heat_flux,wphi,wg
2.9756021118164062e+02,1.9120082855224609e+01,6.7587690353393555e+00,4.6126489257812500e+02
3.0006018066406250e+02,2.0612564086914062e+01,7.0509672164916992e+00,4.7142074584960938e+02
3.0256011962890625e+02,2.0776042938232422e+01,7.5651755332946777e+00,4.8767651367187500e+02
3.0506008911132812e+02,2.0290317535400391e+01,7.1649122238159180e+00,4.9723391723632812e+02
3.0756005859375000e+02,2.0289800643920898e+01,7.4588899612426758e+00,5.0082327270507812e+02
3.1006002807617188e+02,1.9280597686767578e+01,7.7458243370056152e+00,4.9633004760742188e+02
3.1255999755859375e+02,1.8256160736083984e+01,7.9271068572998047e+00,4.8384625244140625e+02
3.1506002807617188e+02,1.7393611907958984e+01,7.4678716659545898e+00,4.6742416381835938e+02
3.1756018066406250e+02,1.5997813224792480e+01,7.1962351799011230e+00,4.4587799072265625e+02
3.2006033325195312e+02,1.6149057388305664e+01,6.8473730087280273e+00,4.2679339599609375e+02
3.2256048583984375e+02,1.6076381683349609e+01,6.5105829238891602e+00,4.1638580322265625e+02
3.2506063842773438e+02,1.6745824813842773e+01,6.0257582664489746e+00,4.1232788085937500e+02
3.2756079101562500e+02,1.7448818206787109e+01,6.1989593505859375e+00,4.1757104492187500e+02
3.3006094360351562e+02,1.7861188888549805e+01,6.2782020568847656e+00,4.2661450195312500e+02
3.3256109619140625e+02,1.7706396102905273e+01,6.6448307037353516e+00,4.3560675048828125e+02
3.3506124877929688e+02,1.6588027954101562e+01,6.8380589485168457e+00,4.3560543823242188e+02
3.3756140136718750e+02,1.5851046562194824e+01,6.7779951095581055e+00,4.2380319213867188e+02
3.4006155395507812e+02,1.5611786842346191e+01,6.5954041481018066e+00,4.1002587890625000e+02
3.4256170654296875e+02,1.4136143684387207e+01,6.0815477371215820e+00,3.9267944335937500e+02
3.4506185913085938e+02,1.4474279403686523e+01,5.6152939796447754e+00,3.7486212158203125e+02
3.4756201171875000e+02,1.5237953186035156e+01,5.3766117095947266e+00,3.6888558959960938e+02
3.5001214599609375e+02,1.5237953186035156e+01,5.3766117095947266e+00,3.6888558959960938e+02
3.5006213378906250e+02,1.6367788314819336e+01,5.5122418403625488e+00,3.7297442626953125e+02
3.5256213378906250e+02,1.7472352981567383e+01,5.5733156204223633e+00,3.8723156738281250e+02
3.5506213378906250e+02,1.9365451812744141e+01,5.8531327247619629e+00,4.0992816162109375e+02
3.5756216430664062e+02,2.1056787490844727e+01,6.1753082275390625e+00,4.4324560546875000e+02
3.6006216430664062e+02,2.2510620117187500e+01,6.6526207923889160e+00,4.8186691284179688e+02
3.6256216430664062e+02,2.3456954956054688e+01,7.4445061683654785e+00,5.1627215576171875e+02
3.6506219482421875e+02,2.2961046218872070e+01,8.1156568527221680e+00,5.4078442382812500e+02
3.6756216430664062e+02,2.1544692993164062e+01,8.0233774185180664e+00,5.4672943115234375e+02
3.7006213378906250e+02,2.0677593231201172e+01,8.2462472915649414e+00,5.3810278320312500e+02
3.7256207275390625e+02,1.9507738113403320e+01,8.1377649307250977e+00,5.2518090820312500e+02
3.7506204223632812e+02,1.8674707412719727e+01,7.9347205162048340e+00,5.0786816406250000e+02
3.7756201171875000e+02,1.8693166732788086e+01,7.5151443481445312e+00,4.9228707885742188e+02
3.8006198120117188e+02,1.8940599441528320e+01,6.9255008697509766e+00,4.8274841308593750e+02
3.8256195068359375e+02,1.9264755249023438e+01,7.3805260658264160e+00,4.8039987182617188e+02
3.8506188964843750e+02,1.9496438980102539e+01,7.2675337791442871e+00,4.8412826538085938e+02
3.8756185913085938e+02,1.8954246520996094e+01,7.1018743515014648e+00,4.8541204833984375e+02
3.9006182861328125e+02,1.9094793319702148e+01,7.0329170227050781e+00,4.8319421386718750e+02
3.9256176757812500e+02,1.9389022827148438e+01,7.1357660293579102e+00,4.8407952880859375e+02
3.9506173706054688e+02,1.9572153091430664e+01,6.8901515007019043e+00,4.8451019287109375e+02
3.9756170654296875e+02,2.0427667617797852e+01,7.8222718238830566e+00,4.8921081542968750e+02
4.0006167602539062e+02,2.0320337295532227e+01,7.2987670898437500e+00,4.9630624389648438e+02
4.0256164550781250e+02,2.0722469329833984e+01,7.3441419601440430e+00,5.0166131591796875e+02
4.0506158447265625e+02,2.1154317855834961e+01,7.2889385223388672e+00,5.0899499511718750e+02
4.0756155395507812e+02,2.2062677383422852e+01,6.8678269386291504e+00,5.1946710205078125e+02
4.1006152343750000e+02,2.3925725936889648e+01,7.2885847091674805e+00,5.3990753173828125e+02
4.1256146240234375e+02,2.5245323181152344e+01,7.5020976066589355e+00,5.6773773193359375e+02
4.1506152343750000e+02,2.5950372695922852e+01,8.7071437835693359e+00,6.0027099609375000e+02
4.1756167602539062e+02,2.5647239685058594e+01,8.2766799926757812e+00,6.2597229003906250e+02
4.2006182861328125e+02,2.6560028076171875e+01,8.7771625518798828e+00,6.4657678222656250e+02
4.2256198120117188e+02,2.7340274810791016e+01,8.5516252517700195e+00,6.6832769775390625e+02
4.2506213378906250e+02,2.8045663833618164e+01,9.3786678314208984e+00,6.9349615478515625e+02
4.2756228637695312e+02,2.6184200286865234e+01,9.9768829345703125e+00,7.1159686279296875e+02
4.3006243896484375e+02,2.5777631759643555e+01,1.0696707725524902e+01,7.1602252197265625e+02
4.3256259155273438e+02,2.4139633178710938e+01,1.0484266281127930e+01,7.1000506591796875e+02
4.3506274414062500e+02,2.4103227615356445e+01,9.0038204193115234e+00,6.9150726318359375e+02
4.3756289672851562e+02,2.4540353775024414e+01,9.4748039245605469e+00,6.8160491943359375e+02
4.4006304931640625e+02,2.3857009887695312e+01,9.0201988220214844e+00,6.7274340820312500e+02
4.4256320190429688e+02,2.3272434234619141e+01,9.5598964691162109e+00,6.6273510742187500e+02
4.4506335449218750e+02,2.2676031112670898e+01,8.8716039657592773e+00,6.5258557128906250e+02
4.4756350708007812e+02,2.1751289367675781e+01,8.3042955398559570e+00,6.3824505615234375e+02
4.5001364135742188e+02,2.1751289367675781e+01,8.3042955398559570e+00,6.3824505615234375e+02
